Coordenada,Media (μ),Desviación Estándar (σ),Máximo,Mínimo,Rango (Max - Min)
nose (X),0.5338756419331914,0.2546476792772732,0.8654367832952649,0.20985538464206713,0.6555813986531978
nose (Y),0.4359094727475911,0.1942455975279821,0.8410009897677049,0.20985538464206713,0.6311456051256378
left eye (inner) (X),0.5388092700792667,0.2582862126460057,0.8673717382419233,0.20985538464206713,0.6575163535998562
left eye (inner) (Y),0.42865289803515577,0.18965147498134757,0.8391476231753104,0.20985538464206713,0.6292922385332433
left eye (X),0.5388143283256815,0.25826658504272954,0.8666636620655964,0.20985538464206713,0.6568082774235293
left eye (Y),0.42763861066660597,0.18887224885379084,0.837505677902124,0.20985538464206713,0.627650293260057
left eye (outer) (X),0.5388100971842656,0.25823740567306974,0.8659063234597989,0.20985538464206713,0.6560509388177318
left eye (outer) (Y),0.42646216266212134,0.18798889831221333,0.8354368187153588,0.20985538464206713,0.6255814340732917
right eye (inner) (X),0.538659364030561,0.2581764745490341,0.8676101928282126,0.20985538464206713,0.6577548081861455
right eye (inner) (Y),0.42737436421437075,0.1889880758746434,0.8371726883065527,0.20985538464206713,0.6273173036644856
right eye (X),0.5385457032748974,0.25807511002703026,0.8669189310183085,0.20985538464206713,0.6570635463762414
right eye (Y),0.4255479727238977,0.18781166410789066,0.8342773195489728,0.20985538464206713,0.6244219349069057
right eye (outer) (X),0.5383995145675876,0.2579503202906101,0.866131994242077,0.20985538464206713,0.6562766096000099
right eye (outer) (Y),0.4234927399716898,0.1865085108199668,0.8311741529070797,0.20985538464206713,0.6213187682650126
left ear (X),0.5350416322719999,0.2551611895229949,0.8546481076774112,0.20985538464206713,0.6447927230353441
left ear (Y),0.41350796570841186,0.1786539686590887,0.8074417535894092,0.20985538464206713,0.5975863689473421
right ear (X),0.5345225838823877,0.2548704802772274,0.8555820174870225,0.20985538464206713,0.6457266328449554
right ear (Y),0.41035629015565445,0.17739260544657556,0.8034000765969709,0.20985538464206713,0.5935446919549038
mouth (left) (X),0.5278695693514722,0.24996484549342132,0.8522045690374068,0.20985538464206713,0.6423491843953397
mouth (left) (Y),0.4340638675381117,0.19220370384264956,0.8278958807204316,0.20985538464206713,0.6180404960783645
mouth (right) (X),0.5275984349753303,0.24978348277449336,0.8535351838988884,0.20985538464206713,0.6436797992568213
mouth (right) (Y),0.432280871315395,0.1912616262090397,0.8245383408063625,0.20985538464206713,0.6146829561642954
left shoulder (X),0.49844468682225646,0.2266878234342026,0.7878285890560297,0.20985538464206713,0.5779732044139626
left shoulder (Y),0.4010730717262359,0.1625337882086244,0.7228892260176142,0.20985538464206713,0.5130338413755471
right shoulder (X),0.501551290705637,0.2302504651946152,0.8015320941267418,0.20985538464206713,0.5916767094846747
right shoulder (Y),0.40536887510554576,0.17175103418947393,0.7750925003895193,0.20985538464206713,0.5652371157474522
left elbow (X),0.47699425640653764,0.20996013578667366,0.7853178336630863,0.20985538464206713,0.5754624490210192
left elbow (Y),0.4513115850228571,0.1919210560617857,0.7554793358561397,0.20985538464206713,0.5456239512140726
right elbow (X),0.4797098658465083,0.2145658164802738,0.7875725872737882,0.20985538464206713,0.5777172026317211
right elbow (Y),0.46379028124731186,0.2056659052823228,0.8449385642542285,0.20985538464206713,0.6350831796121614
left wrist (X),0.4836466067101773,0.21520614019414536,0.8344489237970878,0.20985538464206713,0.6245935391550207
